round,offerer,responder,offer,response,discounts
59,0,2,0.7,accept,"[0.9, 0.9]"
59,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
60,5,4,0.5,counter,"[1, 1]"
60,1,8,0.5,accept,"[1, 1]"
60,7,5,0.5,accept,"[1, 1]"
60,7,6,0.5,accept,"[1, 1]"
60,2,0,0.1,counter,"[1, 1]"
60,3,0,0.4553846153846154,counter,"[1, 1]"
61,4,5,0.01,accept,"[0.9, 0.9]"
61,8,1,0.5,accept,"[1, 1]"
61,5,7,0.5,accept,"[1, 1]"
61,6,7,0.5,accept,"[1, 1]"
61,0,2,0.7,accept,"[0.9, 0.9]"
61,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
62,5,4,0.5,counter,"[1, 1]"
62,1,8,0.5,accept,"[1, 1]"
62,7,5,0.5,accept,"[1, 1]"
62,7,6,0.5,accept,"[1, 1]"
62,2,0,0.1,counter,"[1, 1]"
62,3,0,0.4553846153846154,counter,"[1, 1]"
63,4,5,0.01,accept,"[0.9, 0.9]"
63,8,1,0.5,accept,"[1, 1]"
63,5,7,0.5,accept,"[1, 1]"
63,6,7,0.5,accept,"[1, 1]"
63,0,2,0.7,accept,"[0.9, 0.9]"
63,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
64,5,4,0.5,counter,"[1, 1]"
64,1,8,0.5,accept,"[1, 1]"
64,7,5,0.5,accept,"[1, 1]"
64,7,6,0.5,accept,"[1, 1]"
64,2,0,0.1,counter,"[1, 1]"
64,3,0,0.4553846153846154,counter,"[1, 1]"
65,4,5,0.01,accept,"[0.9, 0.9]"
65,8,1,0.5,accept,"[1, 1]"
65,5,7,0.5,accept,"[1, 1]"
65,6,7,0.5,accept,"[1, 1]"
65,0,2,0.7,accept,"[0.9, 0.9]"
65,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
66,5,4,0.5,counter,"[1, 1]"
66,1,8,0.5,accept,"[1, 1]"
66,7,5,0.5,accept,"[1, 1]"
66,7,6,0.5,accept,"[1, 1]"
66,2,0,0.1,counter,"[1, 1]"
66,3,0,0.4553846153846154,counter,"[1, 1]"
67,4,5,0.01,accept,"[0.9, 0.9]"
67,8,1,0.5,accept,"[1, 1]"
67,5,7,0.5,accept,"[1, 1]"
67,6,7,0.5,accept,"[1, 1]"
67,0,2,0.7,accept,"[0.9, 0.9]"
67,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
68,5,4,0.5,counter,"[1, 1]"
68,1,8,0.5,accept,"[1, 1]"
68,7,5,0.5,accept,"[1, 1]"
68,7,6,0.5,accept,"[1, 1]"
68,2,0,0.1,counter,"[1, 1]"
68,3,0,0.4553846153846154,counter,"[1, 1]"
69,4,5,0.01,accept,"[0.9, 0.9]"
69,8,1,0.5,accept,"[1, 1]"
69,5,7,0.5,accept,"[1, 1]"
69,6,7,0.5,accept,"[1, 1]"
69,0,2,0.7,accept,"[0.9, 0.9]"
69,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
70,5,4,0.5,counter,"[1, 1]"
70,1,8,0.5,accept,"[1, 1]"
70,7,5,0.5,accept,"[1, 1]"
70,7,6,0.5,accept,"[1, 1]"
70,2,0,0.1,counter,"[1, 1]"
70,3,0,0.4553846153846154,counter,"[1, 1]"
71,4,5,0.01,accept,"[0.9, 0.9]"
71,8,1,0.5,accept,"[1, 1]"
71,5,7,0.5,accept,"[1, 1]"
71,6,7,0.5,accept,"[1, 1]"
71,0,2,0.7,accept,"[0.9, 0.9]"
71,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
72,5,4,0.5,counter,"[1, 1]"
72,1,8,0.5,accept,"[1, 1]"
72,7,5,0.5,accept,"[1, 1]"
72,7,6,0.5,accept,"[1, 1]"
72,2,0,0.1,counter,"[1, 1]"
72,3,0,0.4553846153846154,counter,"[1, 1]"
73,4,5,0.01,accept,"[0.9, 0.9]"
73,8,1,0.5,accept,"[1, 1]"
73,5,7,0.5,accept,"[1, 1]"
73,6,7,0.5,accept,"[1, 1]"
73,0,2,0.7,accept,"[0.9, 0.9]"
73,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
74,5,4,0.5,counter,"[1, 1]"
74,1,8,0.5,accept,"[1, 1]"
74,7,5,0.5,accept,"[1, 1]"
74,7,6,0.5,accept,"[1, 1]"
74,2,0,0.1,counter,"[1, 1]"
74,3,0,0.4553846153846154,counter,"[1, 1]"
75,4,5,0.01,accept,"[0.9, 0.9]"
75,8,1,0.5,accept,"[1, 1]"
75,5,7,0.5,accept,"[1, 1]"
75,6,7,0.5,accept,"[1, 1]"
75,0,2,0.7,accept,"[0.9, 0.9]"
75,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
76,5,4,0.5,counter,"[1, 1]"
76,1,8,0.5,accept,"[1, 1]"
76,7,5,0.5,accept,"[1, 1]"
76,7,6,0.5,accept,"[1, 1]"
76,2,0,0.1,counter,"[1, 1]"
76,3,0,0.4553846153846154,counter,"[1, 1]"
77,4,5,0.01,accept,"[0.9, 0.9]"
77,8,1,0.5,accept,"[1, 1]"
77,5,7,0.5,accept,"[1, 1]"
77,6,7,0.5,accept,"[1, 1]"
77,0,2,0.7,accept,"[0.9, 0.9]"
77,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
78,5,4,0.5,counter,"[1, 1]"
78,1,8,0.5,accept,"[1, 1]"
78,7,5,0.5,accept,"[1, 1]"
78,7,6,0.5,accept,"[1, 1]"
78,2,0,0.1,counter,"[1, 1]"
78,3,0,0.4553846153846154,counter,"[1, 1]"
79,4,5,0.01,accept,"[0.9, 0.9]"
79,8,1,0.5,accept,"[1, 1]"
79,5,7,0.5,accept,"[1, 1]"
79,6,7,0.5,accept,"[1, 1]"
79,0,2,0.7,accept,"[0.9, 0.9]"
79,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
80,5,4,0.5,counter,"[1, 1]"
80,1,8,0.5,accept,"[1, 1]"
80,7,5,0.5,accept,"[1, 1]"
80,7,6,0.5,accept,"[1, 1]"
80,2,0,0.1,counter,"[1, 1]"
80,3,0,0.4553846153846154,counter,"[1, 1]"
81,4,5,0.01,accept,"[0.9, 0.9]"
81,8,1,0.5,accept,"[1, 1]"
81,5,7,0.5,accept,"[1, 1]"
81,6,7,0.5,accept,"[1, 1]"
81,0,2,0.7,accept,"[0.9, 0.9]"
81,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
82,5,4,0.5,counter,"[1, 1]"
82,1,8,0.5,accept,"[1, 1]"
82,7,5,0.5,accept,"[1, 1]"
82,7,6,0.5,accept,"[1, 1]"
82,2,0,0.1,counter,"[1, 1]"
82,3,0,0.4553846153846154,counter,"[1, 1]"
83,4,5,0.01,accept,"[0.9, 0.9]"
83,8,1,0.5,accept,"[1, 1]"
83,5,7,0.5,accept,"[1, 1]"
83,6,7,0.5,accept,"[1, 1]"
83,0,2,0.7,accept,"[0.9, 0.9]"
83,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
84,5,4,0.5,counter,"[1, 1]"
84,1,8,0.5,accept,"[1, 1]"
84,7,5,0.5,accept,"[1, 1]"
84,7,6,0.5,accept,"[1, 1]"
84,2,0,0.1,counter,"[1, 1]"
84,3,0,0.4553846153846154,counter,"[1, 1]"
85,4,5,0.01,accept,"[0.9, 0.9]"
85,8,1,0.5,accept,"[1, 1]"
85,5,7,0.5,accept,"[1, 1]"
85,6,7,0.5,accept,"[1, 1]"
85,0,2,0.7,accept,"[0.9, 0.9]"
85,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
86,5,4,0.5,counter,"[1, 1]"
86,1,8,0.5,accept,"[1, 1]"
86,7,5,0.5,accept,"[1, 1]"
86,7,6,0.5,accept,"[1, 1]"
86,2,0,0.1,counter,"[1, 1]"
86,3,0,0.4553846153846154,counter,"[1, 1]"
87,4,5,0.01,accept,"[0.9, 0.9]"
87,8,1,0.5,accept,"[1, 1]"
87,5,7,0.5,accept,"[1, 1]"
87,6,7,0.5,accept,"[1, 1]"
87,0,2,0.7,accept,"[0.9, 0.9]"
87,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
88,5,4,0.5,counter,"[1, 1]"
88,1,8,0.5,accept,"[1, 1]"
88,7,5,0.5,accept,"[1, 1]"
88,7,6,0.5,accept,"[1, 1]"
88,2,0,0.1,counter,"[1, 1]"
88,3,0,0.4553846153846154,counter,"[1, 1]"
89,4,5,0.01,accept,"[0.9, 0.9]"
89,8,1,0.5,accept,"[1, 1]"
89,5,7,0.5,accept,"[1, 1]"
89,6,7,0.5,accept,"[1, 1]"
89,0,2,0.7,accept,"[0.9, 0.9]"
89,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
90,5,4,0.5,counter,"[1, 1]"
90,1,8,0.5,accept,"[1, 1]"
90,7,5,0.5,accept,"[1, 1]"
90,7,6,0.5,accept,"[1, 1]"
90,2,0,0.1,counter,"[1, 1]"
90,3,0,0.4553846153846154,counter,"[1, 1]"
91,4,5,0.01,accept,"[0.9, 0.9]"
91,8,1,0.5,accept,"[1, 1]"
91,5,7,0.5,accept,"[1, 1]"
91,6,7,0.5,accept,"[1, 1]"
91,0,2,0.7,accept,"[0.9, 0.9]"
91,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
92,5,4,0.5,counter,"[1, 1]"
92,1,8,0.5,accept,"[1, 1]"
92,7,5,0.5,accept,"[1, 1]"
92,7,6,0.5,accept,"[1, 1]"
92,2,0,0.1,counter,"[1, 1]"
92,3,0,0.4553846153846154,counter,"[1, 1]"
93,4,5,0.01,accept,"[0.9, 0.9]"
93,8,1,0.5,accept,"[1, 1]"
93,5,7,0.5,accept,"[1, 1]"
93,6,7,0.5,accept,"[1, 1]"
93,0,2,0.7,accept,"[0.9, 0.9]"
93,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
94,5,4,0.5,counter,"[1, 1]"
94,1,8,0.5,accept,"[1, 1]"
94,7,5,0.5,accept,"[1, 1]"
94,7,6,0.5,accept,"[1, 1]"
94,2,0,0.1,counter,"[1, 1]"
94,3,0,0.4553846153846154,counter,"[1, 1]"
95,4,5,0.01,accept,"[0.9, 0.9]"
95,8,1,0.5,accept,"[1, 1]"
95,5,7,0.5,accept,"[1, 1]"
95,6,7,0.5,accept,"[1, 1]"
95,0,2,0.7,accept,"[0.9, 0.9]"
95,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
96,5,4,0.5,counter,"[1, 1]"
96,1,8,0.5,accept,"[1, 1]"
96,7,5,0.5,accept,"[1, 1]"
96,7,6,0.5,accept,"[1, 1]"
96,2,0,0.1,counter,"[1, 1]"
96,3,0,0.4553846153846154,counter,"[1, 1]"
97,4,5,0.01,accept,"[0.9, 0.9]"
97,8,1,0.5,accept,"[1, 1]"
97,5,7,0.5,accept,"[1, 1]"
97,6,7,0.5,accept,"[1, 1]"
97,0,2,0.7,accept,"[0.9, 0.9]"
97,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
98,5,4,0.5,counter,"[1, 1]"
98,1,8,0.5,accept,"[1, 1]"
98,7,5,0.5,accept,"[1, 1]"
98,7,6,0.5,accept,"[1, 1]"
